movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older_gender
Venus,2006,Roger Michell,50,1,Peter O'Toole,Jodie Whittaker,man,woman,11903,1982-06-03T00:00:00Z,74,24,man older
The Quiet American,2002,Phillip Noyce,49,1,Michael Caine,Do Thi Hai Yen,man,woman,12127,1982-10-01T00:00:00Z,69,20,man older
The Big Lebowski,1998,Joel Coen,45,1,David Huddleston,Tara Reid,man,woman,11218,1975-11-08T00:00:00Z,68,23,man older
Poison Ivy,1992,Katt Shea,42,1,Tom Skerritt,Drew Barrymore,man,woman,12291,1975-02-22T00:00:00Z,59,17,man older
Whatever Works,2009,Woody Allen,40,1,Larry David,Evan Rachel Wood,man,woman,17350,1987-09-07T00:00:00Z,62,22,man older
Entrapment,1999,Jon Amiel,39,1,Sean Connery,Catherine Zeta-Jones,man,woman,11195,1969-09-25T00:00:00Z,69,30,man older
Husbands and Wives,1992,Woody Allen,38,1,Woody Allen,Juliette Lewis,man,woman,13119,1973-06-21T00:00:00Z,57,19,man older
Magnolia,1999,Paul Thomas Anderson,38,1,Jason Robards,Julianne Moore,man,woman,8243,1960-12-03T00:00:00Z,77,39,man older
Indiana Jones and the Last Crusade,1989,Steven Spielberg,36,1,Sean Connery,Alison Doody,man,woman,11195,1966-03-09T00:00:00Z,59,23,man older
Mr. Peabody and the Mermaid,1948,Irving Pichel,36,1,William Powell,Ann Blyth,man,woman,1892-06-29,1928-08-16T00:00:00Z,56,20,man older
First Knight,1995,Jerry Zucker,35,1,Sean Connery,Julia Ormond,man,woman,11195,1965-01-04T00:00:00Z,65,30,man older
Something's Gotta Give,2003,Nancy Meyers,35,1,Jack Nicholson,Amanda Peet,man,woman,13627,1972-01-11T00:00:00Z,66,31,man older
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,1,Tom Wilkinson,Kirsten Dunst,man,woman,17568,1982-04-30T00:00:00Z,56,22,man older
Lost in Translation,2003,Sofia Coppola,34,1,Bill Murray,Scarlett Johansson,man,woman,18527,1984-11-22T00:00:00Z,53,19,man older
Shopgirl,2005,Anand Tucker,34,1,Steve Martin,Claire Danes,man,woman,16663,1979-04-12T00:00:00Z,60,26,man older
Wild Target,2010,Jonathan Lynn,34,1,Bill Nighy,Emily Blunt,man,woman,18244,1983-02-23T00:00:00Z,61,27,man older
"Fort Apache, The Bronx",1981,Daniel Petrie,33,1,Paul Newman,Rachel Ticotin,man,woman,9158,1958-11-01T00:00:00Z,56,23,man older
Hollywood Ending,2002,Woody Allen,33,1,Woody Allen,Debra Messing,man,woman,13119,1968-08-15T00:00:00Z,67,34,man older
Daddy Long Legs,1955,Jean Negulesco,32,1,Fred Astaire,Leslie Caron,man,woman,1899-05-10,1931-07-01T00:00:00Z,56,24,man older
Lolita,1997,Adrian Lyne,32,1,Jeremy Irons,Dominique Swain,man,woman,17795,1980-08-12T00:00:00Z,49,17,man older
Mighty Aphrodite,1995,Woody Allen,32,1,Woody Allen,Mira Sorvino,man,woman,13119,1967-09-28T00:00:00Z,60,28,man older
Stone,2010,John Curran,32,1,Robert De Niro,Milla Jovovich,man,woman,15936,1975-12-17T00:00:00Z,67,35,man older
The Private Lives of Pippa Lee,2009,Rebecca Miller,32,1,Alan Arkin,Robin Wright,man,woman,12504,1966-04-08T00:00:00Z,75,43,man older
Third Person,2013,Paul Haggis,32,1,Liam Neeson,Olivia Wilde,man,woman,19152,1984-03-10T00:00:00Z,61,29,man older
Elegy,2008,Isabel Coixet,31,1,Ben Kingsley,Penelope Cruz,man,woman,16071,1974-04-28T00:00:00Z,65,34,man older
Mighty Aphrodite,1995,Woody Allen,31,2,Woody Allen,Helena Bonham Carter,man,woman,13119,1966-05-26T00:00:00Z,60,29,man older
A View to a Kill,1985,John Glen,30,1,Roger Moore,Mary Stavin,man,woman,10149,1957-08-20T00:00:00Z,58,28,man older
Enemy of the State,1998,Tony Scott,30,1,Jon Voight,Anna Gunn,man,woman,14243,1968-08-11T00:00:00Z,60,30,man older
For Your Eyes Only,1981,John Glen,30,1,Roger Moore,Carole Bouquet,man,woman,10149,1957-08-18T00:00:00Z,54,24,man older
Funny Face,1957,Stanley Donen,30,1,Fred Astaire,Audrey Hepburn,man,woman,1899-05-10,1929-05-04T00:00:00Z,58,28,man older
Houseboat,1958,Melville Shavelson,30,1,Cary Grant,Sophia Loren,man,woman,1479,1934-09-20T00:00:00Z,54,24,man older
Kindergarten Cop 2,2016,Don Michael Paul,30,1,Dolph Lundgren,Darla Taylor,man,woman,21127,1987-01-31T00:00:00Z,59,29,man older
Sabrina,1954,Billy Wilder,30,1,Humphrey Bogart,Audrey Hepburn,man,woman,1899-12-25,1929-05-04T00:00:00Z,55,25,man older
The Quiet American,1958,Joseph L. Mankiewicz,30,2,Michael Redgrave,Giorgia Moll,man,woman,3002,1938-01-14T00:00:00Z,50,20,man older
A View to a Kill,1985,John Glen,29,2,Roger Moore,Fiona Fullerton,man,woman,10149,1956-10-10T00:00:00Z,58,29,man older
Arbitrage,2012,Nicholas Jarecki,29,1,Richard Gere,Laetitia Casta,man,woman,18141,1978-05-11T00:00:00Z,63,34,man older
Bulworth,1998,Warren Beatty,29,1,Warren Beatty,Halle Berry,man,woman,13604,1966-08-14T00:00:00Z,61,32,man older
Mank,2020,David Fincher,29,1,Gary Oldman,Tuppence Middleton,man,woman,21265,1987-02-21T00:00:00Z,62,33,man older
Sense and Sensibility,1995,Ang Lee,29,1,Alan Rickman,Kate Winslet,man,woman,16854,1975-10-05T00:00:00Z,49,20,man older
The Departed,2006,Martin Scorsese,29,1,Jack Nicholson,Kristen Dalton,man,woman,13627,1966-02-14T00:00:00Z,69,40,man older
The Man Who Wasn't There,2001,Joel Coen,29,1,Billy Bob Thornton,Scarlett Johansson,man,woman,20305,1984-11-22T00:00:00Z,46,17,man older
A Perfect Murder,1998,Andrew Davis,28,1,Michael Douglas,Gwyneth Paltrow,man,woman,16340,1972-09-27T00:00:00Z,54,26,man older
A View to a Kill,1985,John Glen,28,3,Roger Moore,Tanya Roberts,man,woman,10149,1955-10-15T00:00:00Z,58,30,man older
Beat the Devil,1953,John Huston,28,1,Humphrey Bogart,Gina Lollobrigida,man,woman,1899-12-25,1927-07-04T00:00:00Z,54,26,man older
Café Society,2016,Woody Allen,28,1,Steve Carell,Kristen Stewart,man,woman,22874,1990-04-09T00:00:00Z,54,26,man older
Crazy Heart,2009,Scott Cooper,28,1,Jeff Bridges,Maggie Gyllenhaal,man,woman,18236,1977-11-16T00:00:00Z,60,32,man older
Gangster Squad,2013,Ruben Fleischer,28,1,Sean Penn,Emma Stone,man,woman,22145,1988-11-06T00:00:00Z,53,25,man older
High Noon,1952,Fred Zinnemann,28,1,Gary Cooper,Grace Kelly,man,woman,493,1929-11-12T00:00:00Z,51,23,man older
Last Tango in Paris,1972,Bernardo Bertolucci,28,1,Marlon Brando,Maria Schneider,man,woman,8860,1952-03-27T00:00:00Z,48,20,man older
Love in the Afternoon,1957,undefined,28,1,Gary Cooper,Audrey Hepburn,man,woman,493,1929-05-04T00:00:00Z,56,28,man older
Magic in the Moonlight,2014,Woody Allen,28,1,Colin Firth,Emma Stone,man,woman,22169,1988-11-06T00:00:00Z,54,26,man older
"Six Days, Seven Nights",1998,Ivan Reitman,27,1,Harrison Ford,Anne Heche,man,woman,15535,1969-05-25T00:00:00Z,56,29,man older
The Oranges,2012,Julian Farino,27,1,Hugh Laurie,Leighton Meester,man,woman,21712,1986-04-09T00:00:00Z,53,26,man older
The Squid and the Whale,2005,Noah Baumbach,27,1,Jeff Daniels,Anna Paquin,man,woman,20108,1982-07-24T00:00:00Z,50,23,man older
You Should Have Left,2020,David Koepp,27,1,Kevin Bacon,Amanda Seyfried,man,woman,21374,1985-12-03T00:00:00Z,62,35,man older
As Good as It Gets,1997,James L. Brooks,26,1,Jack Nicholson,Helen Hunt,man,woman,13627,1963-06-15T00:00:00Z,60,34,man older
Black Mass,2015,Scott Cooper,26,1,Johnny Depp,Dakota Johnson,man,woman,23171,1989-10-04T00:00:00Z,52,26,man older
Die Another Day,2002,Lee Tamahori,26,1,Pierce Brosnan,Rosamund Pike,man,woman,19495,1979-01-27T00:00:00Z,49,23,man older
High Society,1956,Charles Walters,26,1,Bing Crosby,Grace Kelly,man,woman,1219,1929-11-12T00:00:00Z,53,27,man older
I Love Trouble,1994,Charles Shyer,26,1,Nick Nolte,Julia Roberts,man,woman,15015,1967-10-28T00:00:00Z,53,27,man older
Indecent Proposal,1993,Adrian Lyne,26,1,Robert Redford,Demi Moore,man,woman,13380,1962-11-11T00:00:00Z,57,31,man older
Manhattan,1979,Woody Allen,26,1,Woody Allen,Mariel Hemingway,man,woman,13119,1961-11-22T00:00:00Z,44,18,man older
Phantom Thread,2017,Paul Thomas Anderson,26,1,Daniel Day-Lewis,Vicky Krieps,man,woman,20939,1983-10-04T00:00:00Z,60,34,man older
The Color of Money,1986,Martin Scorsese,26,1,Paul Newman,Helen Shaver,man,woman,9158,1951-02-24T00:00:00Z,61,35,man older
Amelia,2009,Mira Nair,25,1,Richard Gere,Hilary Swank,man,woman,18141,1974-07-30T00:00:00Z,60,35,man older
Charade,1963,Stanley Donen,25,1,Cary Grant,Audrey Hepburn,man,woman,1479,1929-05-04T00:00:00Z,59,34,man older
Dark Passage,1947,Delmer Daves,25,1,Humphrey Bogart,Lauren Bacall,man,woman,1899-12-25,1924-09-16T00:00:00Z,48,23,man older
I Married a Witch,1942,René Clair,25,1,Fredric March,Veronica Lake,man,woman,1897-08-31,1922-11-14T00:00:00Z,45,20,man older
Key Largo,1948,John Huston,25,1,Humphrey Bogart,Lauren Bacall,man,woman,1899-12-25,1924-09-16T00:00:00Z,49,24,man older
Knock Knock,2015,Eli Roth,25,1,Keanu Reeves,Lorenza Izzo,man,woman,23622,1989-09-19T00:00:00Z,51,26,man older
Love Actually,2003,Richard Curtis,25,1,Alan Rickman,Heike Makatsch,man,woman,16854,1971-08-13T00:00:00Z,57,32,man older
Rumor Has It...,2005,Rob Reiner,25,1,Richard Jenkins,Jennifer Taylor,man,woman,17290,1972-04-19T00:00:00Z,58,33,man older
Seabiscuit,2003,Gary Ross,25,1,Jeff Bridges,Elizabeth Banks,man,woman,18236,1974-02-10T00:00:00Z,54,29,man older
Spun,2002,Jonas Åkerlund,25,1,Mickey Rourke,Brittany Murphy,man,woman,19253,1977-11-10T00:00:00Z,50,25,man older
State of the Union,1948,Frank Capra,25,1,Spencer Tracy,Angela Lansbury,man,woman,96,1925-10-16T00:00:00Z,48,23,man older
The Big Sleep,1946,Howard Hawks,25,1,Humphrey Bogart,Lauren Bacall,man,woman,1899-12-25,1924-09-16T00:00:00Z,47,22,man older
The Misfits,1961,John Huston,25,1,Clark Gable,Marilyn Monroe,man,woman,398,1926-06-01T00:00:00Z,60,35,man older
To Catch a Thief,1955,Alfred Hitchcock,25,1,Cary Grant,Grace Kelly,man,woman,1479,1929-11-12T00:00:00Z,51,26,man older
To Have and Have Not,1944,Howard Hawks,25,1,Humphrey Bogart,Lauren Bacall,man,woman,1899-12-25,1924-09-16T00:00:00Z,45,20,man older
Vertigo,1958,Alfred Hitchcock,25,1,James Stewart,Kim Novak,man,woman,3063,1933-02-13T00:00:00Z,50,25,man older
World's Greatest Dad,2009,Bobcat Goldthwait,25,1,Robin Williams,Alexie Gilmore,man,woman,18830,1976-01-01T00:00:00Z,58,33,man older
15 Minutes,2001,John Herzfeld,24,1,Robert De Niro,Melina Kanakaredes,man,woman,15936,1967-04-23T00:00:00Z,58,34,man older
American Gangster,2007,Ridley Scott,24,1,Denzel Washington,Lymari Nadal,man,woman,20086,1978-02-11T00:00:00Z,53,29,man older
Beyond the Sea,2004,Kevin Spacey,24,1,Kevin Spacey,Kate Bosworth,man,woman,21757,1983-01-02T00:00:00Z,45,21,man older
Cleaner,2007,Renny Harlin,24,1,Ed Harris,Eva Mendes,man,woman,18595,1974-03-05T00:00:00Z,57,33,man older
Dark Shadows,2012,Tim Burton,24,1,Johnny Depp,Bella Heathcote,man,woman,23171,1987-05-27T00:00:00Z,49,25,man older
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,24,1,Tom Atkins,Stacey Nelkin,man,woman,13101,1959-09-10T00:00:00Z,47,23,man older
In a Lonely Place,1950,Nicholas Ray,24,1,Humphrey Bogart,Gloria Grahame,man,woman,1899-12-25,1923-11-28T00:00:00Z,51,27,man older
Indiana Jones and the Last Crusade,1989,Steven Spielberg,24,2,Harrison Ford,Alison Doody,man,woman,15535,1966-03-09T00:00:00Z,47,23,man older
Knock Knock,2015,Eli Roth,24,2,Keanu Reeves,Ana de Armas,man,woman,23622,1988-04-30T00:00:00Z,51,27,man older
Live and Let Die,1973,Guy Hamilton,24,1,Roger Moore,Jane Seymour,man,woman,10149,1951-02-15T00:00:00Z,46,22,man older
Moonraker,1979,Lewis Gilbert,24,1,Roger Moore,Emily Bolton,man,woman,10149,1951-06-15T00:00:00Z,52,28,man older
Rio Bravo,1959,Howard Hawks,24,1,John Wayne,Angie Dickinson,man,woman,2703,1931-09-30T00:00:00Z,52,28,man older
Surrogates,2009,Jonathan Mostow,24,1,Bruce Willis,Rosamund Pike,man,woman,20167,1979-01-27T00:00:00Z,54,30,man older
The Horse Whisperer,1998,Robert Redford,24,1,Robert Redford,Kristin Scott Thomas,man,woman,13380,1960-05-24T00:00:00Z,62,38,man older
The Wrong Man,1956,Alfred Hitchcock,24,1,Henry Fonda,Vera Miles,man,woman,1963,1929-08-23T00:00:00Z,51,27,man older
A Walk in the Woods,2015,Ken Kwapis,23,1,Robert Redford,Emma Thompson,man,woman,13380,1959-04-15T00:00:00Z,79,56,man older
En kongelig affaere,2012,Nikolaj Arcel,23,1,Mads Mikkelsen,Alicia Vikander,man,woman,24068,1988-10-03T00:00:00Z,47,24,man older
Flight,2012,Robert Zemeckis,23,1,Denzel Washington,Kelly Reilly,man,woman,20086,1977-07-18T00:00:00Z,58,35,man older
Hobbs & Shaw,2019,David Leitch,23,1,Jason Statham,Eiza Gonzalez,man,woman,24679,1990-01-30T00:00:00Z,52,29,man older
Moonraker,1979,Lewis Gilbert,23,2,Roger Moore,Corinne Clery,man,woman,10149,1950-03-23T00:00:00Z,52,29,man older
Octopussy,1983,John Glen,23,1,Roger Moore,Kristina Wayborn,man,woman,10149,1950-09-24T00:00:00Z,56,33,man older
Sabrina,1995,Sydney Pollack,23,2,Harrison Ford,Julia Ormond,man,woman,15535,1965-01-04T00:00:00Z,53,30,man older
Seeking a Friend for the End of the World,2012,Lorene Scafaria,23,1,Steve Carell,Keira Knightley,man,woman,22874,1985-03-26T00:00:00Z,50,27,man older
The Details,2011,Jacob Aaron Estes,23,1,Ray Liotta,Kerry Washington,man,woman,20076,1977-01-31T00:00:00Z,57,34,man older
The Duchess,2008,Saul Dibb,23,1,Ralph Fiennes,Keira Knightley,man,woman,23002,1985-03-26T00:00:00Z,46,23,man older
The First Wives Club,1996,Hugh Wilson,23,1,Victor Garber,Elizabeth Berkley,man,woman,17973,1972-07-28T00:00:00Z,47,24,man older
The Man with the Golden Gun,1974,Guy Hamilton,23,1,Christopher Lee,Maud Adams,man,woman,8214,1945-02-12T00:00:00Z,52,29,man older
The Rum Diary,2011,Bruce Robinson,23,1,Johnny Depp,Amber Heard,man,woman,23171,1986-04-22T00:00:00Z,48,25,man older
Autumn in New York,2000,Joan Chen,22,1,Richard Gere,Winona Ryder,man,woman,18141,1971-10-29T00:00:00Z,51,29,man older
Dial M for Murder,1954,Alfred Hitchcock,22,1,Ray Milland,Grace Kelly,man,woman,2617,1929-11-12T00:00:00Z,47,25,man older
Focus,2015,"Glenn Ficarra, John Requa",22,1,Will Smith,Margot Robbie,man,woman,25106,1990-07-02T00:00:00Z,47,25,man older
Live and Let Die,1973,Guy Hamilton,22,2,Roger Moore,Gloria Hendry,man,woman,10149,1949-03-03T00:00:00Z,46,24,man older
Live and Let Die,1973,Guy Hamilton,22,3,Roger Moore,Madeline Smith,man,woman,10149,1949-08-02T00:00:00Z,46,24,man older
Luci del varietà,1951,Federico Fellini,22,1,Peppino De Filippo,Carla Del Poggio,man,woman,1332,1925-12-02T00:00:00Z,48,26,man older
The Mummy,2017,Alex Kurtzman,22,1,Tom Cruise,Annabelle Wallis,man,woman,22830,1984-09-25T00:00:00Z,55,33,man older
The Other Woman,2014,Nick Cassavetes,22,1,Nikolaj Coster-Waldau,Kate Upton,man,woman,25776,1992-06-10T00:00:00Z,44,22,man older
The Royal Tenenbaums,2001,Wes Anderson,22,1,Bill Murray,Gwyneth Paltrow,man,woman,18527,1972-09-27T00:00:00Z,51,29,man older
Up Close & Personal,1996,Jon Avnet,22,1,Robert Redford,Michelle Pfeiffer,man,woman,13380,1958-04-29T00:00:00Z,60,38,man older
A View to a Kill,1985,John Glen,21,4,Roger Moore,Grace Jones,man,woman,10149,1948-05-19T00:00:00Z,58,37,man older
Blame,2017,Quinn Shephard,21,1,Chris Messina,Quinn Shephard,man,woman,27252,1995-02-28T00:00:00Z,43,22,man older
Bugsy,1991,Barry Levinson,21,1,Warren Beatty,Annette Bening,man,woman,13604,1958-05-29T00:00:00Z,54,33,man older
Deja Vu,2006,Tony Scott,21,1,Denzel Washington,Paula Patton,man,woman,20086,1975-12-05T00:00:00Z,52,31,man older
Edge of Tomorrow,2014,Doug Liman,21,1,Tom Cruise,Emily Blunt,man,woman,22830,1983-02-23T00:00:00Z,52,31,man older
For Your Eyes Only,1981,John Glen,21,2,Roger Moore,Cassandra Harris,man,woman,10149,1948-12-15T00:00:00Z,54,33,man older
Heat,1995,Michael Mann,21,1,Robert De Niro,Amy Brenneman,man,woman,15936,1964-06-22T00:00:00Z,52,31,man older
Husbands and Wives,1992,Woody Allen,21,2,Sydney Pollack,Judy Davis,man,woman,12601,1955-04-23T00:00:00Z,58,37,man older
It's Complicated,2009,Nancy Meyers,21,1,Alec Baldwin,Lake Bell,man,woman,21278,1979-03-24T00:00:00Z,51,30,man older
Just Go with It,2011,Dennis Dugan,21,1,Adam Sandler,Brooklyn Decker,man,woman,24359,1987-04-12T00:00:00Z,45,24,man older
King Arthur,2004,Antoine Fuqua,21,1,Clive Owen,Keira Knightley,man,woman,23653,1985-03-26T00:00:00Z,40,19,man older
Licence to Kill,1989,John Glen,21,1,Timothy Dalton,Talisa Soto,man,woman,16882,1967-03-27T00:00:00Z,43,22,man older
Modern Times,1936,Charlie Chaplin,21,1,Charlie Chaplin,Paulette Goddard,man,woman,1889-04-16,1910-06-03T00:00:00Z,47,26,man older
My Cousin Vinny,1992,Jonathan Lynn,21,1,Joe Pesci,Marisa Tomei,man,woman,15746,1964-12-04T00:00:00Z,49,28,man older
My Fair Lady,1964,George Cukor,21,1,Rex Harrison,Audrey Hepburn,man,woman,2987,1929-05-04T00:00:00Z,56,35,man older
Rear Window,1954,Alfred Hitchcock,21,1,James Stewart,Grace Kelly,man,woman,3063,1929-11-12T00:00:00Z,46,25,man older
Richard III,1995,Richard Loncraine,21,1,Ian McKellen,Kristin Scott Thomas,man,woman,14390,1960-05-24T00:00:00Z,56,35,man older
Teacher's Pet,1958,George Seaton,21,1,Clark Gable,Doris Day,man,woman,398,1922-04-03T00:00:00Z,57,36,man older
The Bubble,2022,Judd Apatow,21,1,Pedro Pascal,Maria Bakalova,man,woman,27486,1996-06-04T00:00:00Z,47,26,man older
The Great Dictator,1940,Charlie Chaplin,21,1,Charlie Chaplin,Paulette Goddard,man,woman,1889-04-16,1910-06-03T00:00:00Z,51,30,man older
The Royal Tenenbaums,2001,Wes Anderson,21,2,Gene Hackman,Anjelica Huston,man,woman,10988,1951-07-08T00:00:00Z,71,50,man older
The Verdict,1982,Sidney Lumet,21,1,Paul Newman,Charlotte Rampling,man,woman,9158,1946-02-05T00:00:00Z,57,36,man older
Tomorrow Never Dies,1997,Roger Spottiswoode,21,1,Pierce Brosnan,Cecilie Thomsen,man,woman,19495,1974-10-29T00:00:00Z,44,23,man older
V for Vendetta,2005,James McTeigue,21,1,Hugo Weaving,Natalie Portman,man,woman,22010,1981-06-09T00:00:00Z,45,24,man older
American Beauty,1999,Sam Mendes,20,1,Kevin Spacey,Mena Suvari,man,woman,21757,1979-02-13T00:00:00Z,40,20,man older
Get Smart,2008,Peter Segal,20,1,Steve Carell,Anne Hathaway,man,woman,22874,1982-11-12T00:00:00Z,46,26,man older
Jurassic Park,1993,Steven Spielberg,20,1,Sam Neill,Laura Dern,man,woman,17424,1967-02-10T00:00:00Z,46,26,man older
Killer Joe,2011,William Friedkin,20,1,Matthew McConaughey,Juno Temple,man,woman,25511,1989-07-20T00:00:00Z,42,22,man older
L.A. Story,1991,Mick Jackson,20,1,Steve Martin,Sarah Jessica Parker,man,woman,16663,1965-03-25T00:00:00Z,46,26,man older
Moonraker,1979,Lewis Gilbert,20,3,Roger Moore,Lois Chiles,man,woman,10149,1947-04-15T00:00:00Z,52,32,man older
North by Northwest,1959,Alfred Hitchcock,20,1,Cary Grant,Eva Marie Saint,man,woman,1479,1924-07-04T00:00:00Z,55,35,man older
Patch Adams,1998,Tom Shadyac,20,1,Robin Williams,Monica Potter,man,woman,18830,1971-06-30T00:00:00Z,47,27,man older
Pushing Tin,1999,Mike Newell,20,1,Billy Bob Thornton,Angelina Jolie,man,woman,20305,1975-06-04T00:00:00Z,44,24,man older
Regarding Henry,1991,Mike Nichols,20,1,Harrison Ford,Rebecca Miller,man,woman,15535,1962-09-15T00:00:00Z,49,29,man older
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",20,1,Gene Kelly,Debbie Reynolds,man,woman,4619,1932-04-01T00:00:00Z,40,20,man older
The Duchess,2008,Saul Dibb,20,2,Ralph Fiennes,Hayley Atwell,man,woman,23002,1982-04-05T00:00:00Z,46,26,man older
The Fifth Element,1997,Luc Besson,20,1,Bruce Willis,Milla Jovovich,man,woman,20167,1975-12-17T00:00:00Z,42,22,man older
The Northman,2022,Robert Eggers,20,1,Alexander Skarsgard,Anya Taylor-Joy,man,woman,27997,1996-04-16T00:00:00Z,46,26,man older
The Only Living Boy in New York,2017,Marc Webb,20,1,Pierce Brosnan,Kate Beckinsale,man,woman,19495,1973-07-26T00:00:00Z,64,44,man older
The Spy Who Loved Me,1977,Lewis Gilbert,20,1,Roger Moore,Barbara Bach,man,woman,10149,1947-08-27T00:00:00Z,50,30,man older
Training Day,2001,Antoine Fuqua,20,1,Denzel Washington,Eva Mendes,man,woman,20086,1974-03-05T00:00:00Z,47,27,man older
Virginia,2010,Dustin Lance Black,20,1,Ed Harris,Jennifer Connelly,man,woman,18595,1970-12-12T00:00:00Z,60,40,man older
Water for Elephants,2011,Francis Lawrence,20,1,Christoph Waltz,Reese Witherspoon,man,woman,20732,1976-03-21T00:00:00Z,55,35,man older
An American in Paris,1951,Vincente Minnelli,19,1,Gene Kelly,Leslie Caron,man,woman,4619,1931-07-01T00:00:00Z,39,20,man older
Baby Driver,2017,Edgar Wright,19,1,Jon Hamm,Eiza Gonzalez,man,woman,26002,1990-01-30T00:00:00Z,46,27,man older
Birdman,2014,Alejandro González Iñárritu,19,1,Edward Norton,Emma Stone,man,woman,25433,1988-11-06T00:00:00Z,45,26,man older
Buffalo '66,1998,Vincent Gallo,19,1,Vincent Gallo,Christina Ricci,man,woman,22382,1980-02-12T00:00:00Z,37,18,man older
Firewall,2006,Richard Loncraine,19,1,Harrison Ford,Virginia Madsen,man,woman,15535,1961-09-11T00:00:00Z,64,45,man older
Gone Girl,2014,David Fincher,19,1,Ben Affleck,Emily Ratajkowski,man,woman,26526,1991-06-07T00:00:00Z,42,23,man older
Mighty Aphrodite,1995,Woody Allen,19,3,Peter Weller,Helena Bonham Carter,man,woman,17342,1966-05-26T00:00:00Z,48,29,man older
Mother's Day,2016,Garry Marshall,19,1,Timothy Olyphant,Shay Mitchell,man,woman,24978,1987-04-10T00:00:00Z,48,29,man older
Män som hatar kvinnor,2009,Niels Arden Oplev,19,1,Michael Nyqvist,Noomi Rapace,man,woman,22228,1979-12-28T00:00:00Z,49,30,man older
Skyfall,2012,Sam Mendes,19,1,Daniel Craig,Tonia Sotiropoulou,man,woman,24899,1987-04-28T00:00:00Z,44,25,man older
Star of Midnight,1935,Stephen Roberts,19,1,William Powell,Ginger Rogers,man,woman,1892-06-29,1911-07-16T00:00:00Z,43,24,man older
Street Kings,2008,David Ayer,19,1,Keanu Reeves,Martha Higareda,man,woman,23622,1983-08-24T00:00:00Z,44,25,man older
Suburban Girl,2007,Marc Klein,19,1,Alec Baldwin,Sarah Michelle Gellar,man,woman,21278,1977-04-14T00:00:00Z,49,30,man older
Suicide Squad,2016,David Ayer,19,1,Jared Leto,Margot Robbie,man,woman,26293,1990-07-02T00:00:00Z,45,26,man older
The Bridges of Madison County,1995,Clint Eastwood,19,1,Clint Eastwood,Meryl Streep,man,woman,11109,1949-06-22T00:00:00Z,65,46,man older
The Lord of the Rings,2001,Peter Jackson,19,1,Viggo Mortensen,Liv Tyler,man,woman,21478,1977-07-01T00:00:00Z,43,24,man older
The Mothman Prophecies,2002,Mark Pellington,19,1,Richard Gere,Debra Messing,man,woman,18141,1968-08-15T00:00:00Z,53,34,man older
The Naked Gun,1988,David Zucker,19,1,Leslie Nielsen,Priscilla Presley,man,woman,9539,1945-04-24T00:00:00Z,62,43,man older
Thunderball,1965,Terence Young,19,1,Adolfo Celi,Claudine Auger,man,woman,8244,1941-04-26T00:00:00Z,43,24,man older
Transcendence,2014,Wally Pfister,19,1,Johnny Depp,Rebecca Hall,man,woman,23171,1982-05-03T00:00:00Z,51,32,man older
All I See Is You,2017,Marc Forster,18,1,Jason Clarke,Blake Lively,man,woman,25401,1987-08-25T00:00:00Z,48,30,man older
Always Be My Maybe,2019,Nahnatchka Khan,18,1,Keanu Reeves,Ali Wong,man,woman,23622,1982-04-19T00:00:00Z,55,37,man older
Austin Powers in Goldmember,2002,Jay Roach,18,1,Mike Myers,Beyonce Knowles,man,woman,23126,1981-09-04T00:00:00Z,39,21,man older
Avengers: Infinity War,2018,Joe & Anthony Russo,18,1,Paul Bettany,Elizabeth Olsen,man,woman,26080,1989-02-16T00:00:00Z,47,29,man older
Big Eyes,2014,Tim Burton,18,1,Christoph Waltz,Amy Adams,man,woman,20732,1974-08-20T00:00:00Z,58,40,man older
Color of Night,1994,Richard Rush,18,1,Bruce Willis,Jane March,man,woman,20167,1973-03-20T00:00:00Z,39,21,man older
Guess Who's Coming to Dinner,1967,John Huston,18,1,Sidney Poitier,Katharine Houghton,man,woman,9913,1945-03-10T00:00:00Z,40,22,man older
Octopussy,1983,John Glen,18,2,Roger Moore,Maud Adams,man,woman,10149,1945-02-12T00:00:00Z,56,38,man older
Once,2007,John Carney,18,1,Glen Hansard,Marketa Irglova,man,woman,25679,1988-02-28T00:00:00Z,37,19,man older
Pretty Woman,1990,Garry Marshall,18,1,Richard Gere,Julia Roberts,man,woman,18141,1967-10-28T00:00:00Z,41,23,man older
Quantum of Solace,2008,Marc Forster,18,1,Daniel Craig,Gemma Arterton,man,woman,24899,1986-02-02T00:00:00Z,40,22,man older
Raising Helen,2004,Garry Marshall,18,1,John Corbett,Kate Hudson,man,woman,22410,1979-04-19T00:00:00Z,43,25,man older
Random Hearts,1999,Sydney Pollack,18,1,Harrison Ford,Kristin Scott Thomas,man,woman,15535,1960-05-24T00:00:00Z,57,39,man older
Replicas,2018,Jeffrey Nachmanoff,18,1,Keanu Reeves,Alice Eve,man,woman,23622,1982-02-06T00:00:00Z,54,36,man older
Runaway Bride,1999,Garry Marshall,18,1,Richard Gere,Julia Roberts,man,woman,18141,1967-10-28T00:00:00Z,50,32,man older
